ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly,min_lim_age,max_lim_age
1124,I am a developer by profession,Employed full-time,Jordan,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,Colleague,17,13,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;System administrator",10 to 19 employees,JOD	Jordanian dinar,2000.0,Monthly,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,Assembly;Bash/Shell;C;Erlang;Go;Haskell;HTML/CSS;JavaScript;LISP;Node.js;PHP;Rust,Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis,Cassandra;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,AWS,DigitalOcean,Express;jQuery;Laravel;React.js;Vue.js,Express;FastAPI;Flask;Laravel;React.js,,,Docker;Git,Chef;Deno;Docker;Git;Kubernetes,Sublime Text;Vim;Visual Studio Code,Sublime Text;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,33852.0,18 , 24 years
1207,I am a developer by profession,"Student, part-time",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",5,,,,,,,Kotlin,Kotlin,MySQL,MySQL,,,,,Flutter,,Git,Git,Android Studio;IntelliJ;PHPStorm;PyCharm,Android Studio;IntelliJ;PHPStorm;PyCharm,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,11 , 17 years
2758,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum;Online Courses or Certification,7,4,"Developer, full-stack",100 to 499 employees,JOD	Jordanian dinar,1500.0,Monthly,JavaScript;PHP,JavaScript;PHP,MySQL,MySQL,AWS;DigitalOcean,AWS;DigitalOcean,jQuery;Laravel,jQuery;Laravel;Vue.js,,,Git,Git,Android Studio;PHPStorm,Android Studio;PHPStorm,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,25392.0,11 , 17 years
3110,I am a developer by profession,"Not employed, but looking for work",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Coding Bootcamp;Online Courses or Certification;Colleague,6,,,,,,,JavaScript;Node.js,JavaScript;Node.js,MongoDB;MySQL;SQLite,Firebase;MongoDB;MySQL,Heroku,AWS;Heroku;Microsoft Azure,Angular;Express;React.js,Angular;Express;React.js,React Native,React Native,Git,Git,Android Studio;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Man,No,Bisexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,18 , 24 years
3124,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,School;Colleague,10,,"Developer, mobile;Academic researcher",10 to 19 employees,JOD	Jordanian dinar,,Monthly,Objective-C;Swift,Objective-C;Swift,SQLite,SQLite,AWS,AWS,,,,,Git,Git,Visual Studio;Xcode,Visual Studio;Xcode,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,,Middle Eastern,,,Too long,Neither easy nor difficult,,5 , 10 years
3554,I code primarily as a hobby,"Not employed, but looking for work",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",,,"Developer, mobile;Developer, front-end;Developer, full-stack;Student",,,,,Assembly;Bash/Shell;C;C++;Go;Java;Node.js;PHP;PowerShell;Python;Ruby;Rust;SQL,,Firebase;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,,Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure,AWS;DigitalOcean,React.js,Ruby on Rails,NumPy;Qt,Qt,Docker;Git;Puppet;Yarn,Ansible,Android Studio;Sublime Text;Visual Studio Code,Android Studio;Sublime Text;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Play games;Panic,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,11 , 17 years
3785,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Friend or family member,12,10,DevOps specialist,"10,000 or more employees",JOD	Jordanian dinar,48000.0,Yearly,HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,HTML/CSS;JavaScript;Kotlin;Node.js;TypeScript,PostgreSQL,,AWS,AWS,React.js;Spring,React.js;Spring,,,Docker;Git;Terraform,Docker;Git;Kubernetes;Terraform,IntelliJ;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,MacOS,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,67701.0,11 , 17 years
5953,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,12,7,"Developer, mobile",20 to 99 employees,JOD	Jordanian dinar,1500.0,Monthly,HTML/CSS;Java;JavaScript;Kotlin;Python;Swift,Java;Kotlin;Python;Swift,,,,,Flask,Flask,,,Git,Git,Android Studio;Eclipse;Visual Studio Code;Xcode,Android Studio;Eclipse;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,25392.0,11 , 17 years
6664,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",14,12,"Developer, desktop or enterprise applications;Developer, full-stack",500 to 999 employees,JOD	Jordanian dinar,2500.0,Monthly,C#;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;MongoDB,Microsoft SQL Server;MongoDB,Microsoft Azure,AWS;Microsoft Azure,Angular.js;ASP.NET;jQuery;React.js,Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Vue.js,.NET Framework,.NET Framework;.NET Core / .NET 5;React Native,Git;Unity 3D;Xamarin,Docker;Git;Kubernetes;Xamarin,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,42312.0,18 , 24 years
9084,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Friend or family member;Books / Physical media,11,7,"Developer, mobile;Developer, back-end;Academic researcher;DevOps specialist","10,000 or more employees",JOD	Jordanian dinar,,,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Objective-C;PowerShell;Python;Swift,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Objective-C;PowerShell;Python;Swift;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,Elasticsearch;MongoDB;Redis,DigitalOcean;Microsoft Azure,DigitalOcean;Microsoft Azure,Express;Flask;Vue.js,ASP.NET Core ;Express;Flask;Vue.js,.NET Core / .NET 5,.NET Core / .NET 5,Deno;Docker;Git;Kubernetes,Deno;Docker;Git;Kubernetes;Terraform,Vim;Visual Studio;Visual Studio Code;Xcode,PyCharm;Vim;Visual Studio;Visual Studio Code;Xcode,MacOS,Visit Stack Overflow;Google it;Do other work and come back later;Meditate;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Prefer not to say,Multiracial;Hispanic or Latino/a/x;Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,5 , 10 years
11481,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Colleague",12,7,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",100 to 499 employees,JOD	Jordanian dinar,,Monthly,C#;JavaScript;Node.js;SQL;TypeScript,C#;Node.js;SQL;TypeScript,Microsoft SQL Server;MongoDB;Oracle;Redis,Microsoft SQL Server;MongoDB;Oracle;Redis,Microsoft Azure,Microsoft Azure,Angular;ASP.NET Core ;jQuery,Angular;ASP.NET Core ;jQuery,.NET Framework;.NET Core / .NET 5;Cordova;React Native,.NET Core / .NET 5;React Native,Git,Git,Android Studio;Visual Studio;Visual Studio Code;Xcode,Android Studio;Visual Studio;Visual Studio Code;Xcode,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Man,No,Prefer not to say,,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,18 , 24 years
12561,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Books / Physical media",6,3,"Developer, front-end;Developer, full-stack;Developer, back-end",2 to 9 employees,JOD	Jordanian dinar,1500.0,Monthly,C#;C++;JavaScript;Node.js;SQL;TypeScript,C++;Rust;TypeScript,DynamoDB;Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft SQL Server;PostgreSQL,DigitalOcean;Microsoft Azure,DigitalOcean;Microsoft Azure,ASP.NET Core ;Express;Gatsby;React.js,ASP.NET Core ;FastAPI,.NET Core / .NET 5;Keras;NumPy;React Native;TensorFlow,,Docker;Git,Deno;Docker;Git;Kubernetes,IntelliJ;Notepad++;PyCharm;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,25392.0,11 , 17 years
12826,I code primarily as a hobby,"Student, full-time",Jordan,,,Some college/university study without earning a degree,11 - 17 years,Books / Physical media,2,,,,,,,Go;Java;LISP;Python,LISP;Rust,,,,,,,,,Docker;Git,Docker;Git;Kubernetes,Emacs;Neovim;Vim;Visual Studio Code,Emacs;Neovim,Linux-based,Go for a walk or other physical activity;Google it;Do other work and come back later;Panic,Stack Overflow,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,,,,,,,,,,,11 , 17 years
14648,I am a developer by profession,Employed full-time,Jordan,,,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",2,Less than 1 year,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",JOD	Jordanian dinar,300.0,Monthly,C#;Dart;Java,Dart,Firebase;MySQL,Firebase,Google Cloud Platform,Google Cloud Platform,,,Flutter,Flutter,Git;Unity 3D,Git;Unity 3D,Android Studio;Eclipse;IntelliJ;Notepad++;Vim;Visual Studio;Visual Studio Code,Android Studio;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):;Other (please specify):,Stack Overflow,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,Yes,Under 18 years old,Man,No,,Middle Eastern,,,Too long,Difficult,5076.0,11 , 17 years
15927,I am a developer by profession,Employed full-time,Jordan,,,Something else,18 - 24 years,Coding Bootcamp,1,Less than 1 year,"Developer, full-stack",2 to 9 employees,USD	United States dollar,,Monthly,C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL,C#;C++;HTML/CSS;JavaScript;Node.js;SQL,MongoDB;MySQL,MySQL,Heroku,AWS,Angular;Angular.js;Django;Express;jQuery;React.js,Angular;ASP.NET;ASP.NET Core ;Express;React.js,,,Git,Git,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Woman,No,Prefer not to say,Middle Eastern,None of the above,,Too long,Neither easy nor difficult,,18 , 24 years
16585,I am a developer by profession,"Not employed, but looking for work",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",,,"Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Student",,,,,C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python,,MySQL;PostgreSQL;SQLite,,Heroku,,ASP.NET;ASP.NET Core ;Express;jQuery,,.NET Framework;.NET Core / .NET 5;NumPy,,Git,Docker;Git,IPython/Jupyter;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code,Sublime Text,Windows,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,5 , 10 years
16607,I am a developer by profession,Employed full-time,Jordan,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",5,5,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist",10 to 19 employees,JOD	Jordanian dinar,1000.0,Monthly,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;PHP;SQL;Swift;TypeScript,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Microsoft Azure,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,jQuery;Laravel;React.js;Vue.js,Angular.js;Flask;Laravel;React.js;Vue.js,Flutter;React Native,React Native,Docker;Git,Docker;Git;Kubernetes,PHPStorm;Vim;Visual Studio Code;Webstorm,PHPStorm;Vim;Visual Studio Code;Webstorm;Xcode,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,18-24 years old,Man,"Or, in your own words:",Prefer to self-describe:,Middle Eastern,None of the above,None of the above,Too long,Easy,16920.0,11 , 17 years
17354,I am a student who is learning to code,"Student, part-time",Jordan,,,Primary/elementary school,11 - 17 years,Online Courses or Certification,Less than 1 year,,,,,,,C;HTML/CSS;JavaScript;Python;SQL,Dart;HTML/CSS;JavaScript;Python;SQL,MySQL;SQLite,,,,Flask;jQuery,Django;jQuery;React.js,,,Git,Git,Atom;Notepad++;Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,11 , 17 years
19710,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",6,5,"Developer, mobile;Developer, full-stack",20 to 99 employees,USD	United States dollar,2900.0,Monthly,HTML/CSS;JavaScript;Node.js;SQL,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Firebase;MongoDB;MySQL;Redis,MySQL;Redis,AWS;Google Cloud Platform,,Angular.js;Express;jQuery;Vue.js,Angular.js;Vue.js,Cordova,Cordova,Docker;Git;Yarn,Git;Yarn,IntelliJ,IntelliJ,Linux-based,Go for a walk or other physical activity;Google it;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;Or, in your own words:",Appropriate in length,Easy,34800.0,11 , 17 years
20365,I code primarily as a hobby,"Not employed, but looking for work",Jordan,,,Primary/elementary school,5 - 10 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",4,,,,,,,C;C#;C++,Assembly;Bash/Shell;Python,,,,,,,.NET Framework,,Unity 3D;Unreal Engine,,Visual Studio;Visual Studio Code,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Meditate;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,Under 18 years old,Man,,,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,5 , 10 years
20440,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",5,2,"Developer, full-stack;Developer, back-end",20 to 99 employees,JOD	Jordanian dinar,1000.0,Monthly,C#;HTML/CSS;JavaScript;Python;TypeScript,C#;Java;Node.js;Python;TypeScript,DynamoDB;Elasticsearch;PostgreSQL,Elasticsearch;PostgreSQL;Redis,AWS;Microsoft Azure,AWS;DigitalOcean;Microsoft Azure,Angular;ASP.NET Core ;Django,Angular;ASP.NET Core ;Django;Vue.js,.NET Core / .NET 5,.NET Core / .NET 5;Apache Spark;NumPy;Pandas,Docker;Git,Deno;Docker;Git;Terraform,Visual Studio;Webstorm,Notepad++;PyCharm;Rider,Linux-based,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Easy,16920.0,11 , 17 years
20563,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",13,8,"Developer, mobile;Developer, front-end;Developer, back-end",100 to 499 employees,JOD	Jordanian dinar,1850.0,Monthly,Java;Kotlin;Scala;TypeScript,Dart;Java;Kotlin;Node.js;Python;Scala;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis,AWS,AWS;Google Cloud Platform;Heroku,,,,,Docker;Git,Docker;Git;Kubernetes,IntelliJ;Rider;Visual Studio Code;Webstorm,IntelliJ;PyCharm;Rider;Visual Studio Code;Webstorm,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Too short,Easy,31308.0,11 , 17 years
