ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly,min_lim_age,max_lim_age
20965,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Younger than 5 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification",4,1,"Developer, full-stack","10,000 or more employees",JOD	Jordanian dinar,,Monthly,HTML/CSS;Java;JavaScript;Node.js;TypeScript,Java;JavaScript;Node.js;TypeScript,Cassandra;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL,DynamoDB;MongoDB;MySQL;PostgreSQL,AWS,AWS;Microsoft Azure,Angular;Express;React.js;Spring,Angular;Express;React.js;Spring,Flutter,,Docker;Git;Kubernetes;Yarn,Docker;Git;Kubernetes;Yarn,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Not sure/can't remember,,Neutral,No,18-24 years old,Man,No,Prefer not to say,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,Younger than 5 years,
23090,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Colleague",10,6,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end",2 to 9 employees,USD	United States dollar,30000.0,Yearly,Bash/Shell;Dart;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Bash/Shell;Dart;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,MariaDB;MySQL;PostgreSQL;Redis;SQLite,MariaDB;MySQL;SQLite,,,Angular;jQuery;Laravel;Spring,Angular;jQuery;Laravel,Flutter,Flutter,Git;Yarn,Git,Android Studio;IntelliJ;Vim;Visual Studio,Android Studio;IntelliJ;Vim,Linux-based,Call a coworker or friend;Google it;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, definitely",Yes,25-34 years old,Man,No,,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,30000.0,11 , 17 years
23106,I code primarily as a hobby,"Student, full-time",Jordan,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc)",2,,,,,,,C#;Rust,Assembly;C;C#;Go;Rust,,,,,Flask,,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Deno;Git,IntelliJ;Rider;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not at all",No,Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Too long,Easy,,5 , 10 years
25667,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Courses or Certification;Colleague,12,9,"Developer, full-stack;Educator",20 to 99 employees,JOD	Jordanian dinar,,Monthly,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C#;Dart;HTML/CSS;JavaScript;Node.js;R;TypeScript,Microsoft SQL Server,Microsoft SQL Server;MongoDB;PostgreSQL,AWS,AWS;Heroku,Angular;ASP.NET;ASP.NET Core ;Express;jQuery,ASP.NET Core ;Express;jQuery;React.js,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5;Flutter,Git;Unity 3D,Docker;Git,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Too long,Easy,,18 , 24 years
28485,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Other (please specify):;Colleague,15,15,"Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Data or business analyst",10 to 19 employees,JOD	Jordanian dinar,,,Delphi;SQL,Delphi;SQL,Microsoft SQL Server,Microsoft SQL Server,,,,,Flutter,,,,,,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Man,No,,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,18 , 24 years
29362,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Other (please specify):,12,3,"Developer, full-stack",100 to 499 employees,SAR	Saudi Arabian riyal,13000.0,Monthly,HTML/CSS;Java;JavaScript;PHP,Dart;HTML/CSS;Java;JavaScript;PHP,,,DigitalOcean,AWS;DigitalOcean;Microsoft Azure,Angular;jQuery;Laravel;Spring,Angular;jQuery;Laravel;Spring;Vue.js,,,Docker;Git,Docker;Git;Kubernetes,Android Studio;PHPStorm,Android Studio;PHPStorm,Windows,Google it;Do other work and come back later,I have never visited Stack Overflow or the Stack Exchange network,,,,,No,25-34 years old,Man,,,Middle Eastern,,,Appropriate in length,Neither easy nor difficult,41592.0,11 , 17 years
29749,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,School,20,10,"Developer, full-stack",10 to 19 employees,JOD	Jordanian dinar,560.0,Monthly,JavaScript;Node.js;SQL;TypeScript,JavaScript;Node.js;SQL;TypeScript,Firebase;MongoDB;MySQL;Oracle;PostgreSQL,Firebase;MongoDB;MySQL;PostgreSQL,Google Cloud Platform;Heroku,Google Cloud Platform;Heroku,Express;React.js,Express;React.js,,,Git,Git,Visual Studio Code,Visual Studio Code,Windows,Google it,Stack Overflow,Daily or almost daily,Not sure/can't remember,,Neutral,No,45-54 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,9480.0,18 , 24 years
34520,I code primarily as a hobby,I prefer not to say,Jordan,,,"Associate degree (A.A., A.S., etc.)",18 - 24 years,Friend or family member,17,,,,,,,APL;SQL,,Cassandra;IBM DB2,,IBM Cloud or Watson,,Angular,,.NET Framework,,Ansible,,Android Studio,Android Studio,Windows Subsystem for Linux (WSL),Call a coworker or friend,Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",Yes,,Woman,No,,"Or, in your own words:",None of the above,,Appropriate in length,Neither easy nor difficult,,18 , 24 years
35348,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,School;Friend or family member;Online Courses or Certification;Books / Physical media,11,7,"Developer, desktop or enterprise applications;Developer, back-end",2 to 9 employees,JOD	Jordanian dinar,,Monthly,C++;JavaScript;PHP;SQL,JavaScript;PHP;SQL,Oracle,Oracle,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,Laravel;Vue.js,,,,Git,Git,Visual Studio Code,Visual Studio Code,Windows,Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,5 , 10 years
35742,I am a developer by profession,Employed full-time,Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",3,3,"Developer, mobile;Developer, front-end;Data or business analyst;Product manager",2 to 9 employees,JOD	Jordanian dinar,4000.0,Monthly,Dart;HTML/CSS,Dart;HTML/CSS;JavaScript;Node.js,Firebase;MySQL,Firebase,DigitalOcean;Google Cloud Platform,Google Cloud Platform,,,Flutter,Flutter,Git,Git,Android Studio;Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,I have an anxiety disorder,Appropriate in length,Easy,67704.0,18 , 24 years
37244,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",16,11,"Developer, back-end",20 to 99 employees,JOD	Jordanian dinar,2700.0,Monthly,Go;Java;Python;SQL,C++;Java;Python,DynamoDB;Elasticsearch;PostgreSQL;Redis,DynamoDB;Elasticsearch;PostgreSQL;Redis,AWS,AWS,,,,,Git;Terraform,Git,IntelliJ;IPython/Jupyter;PyCharm;Visual Studio,IntelliJ;IPython/Jupyter;PyCharm;Visual Studio,Linux-based,,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,I have an anxiety disorder,Appropriate in length,,45696.0,11 , 17 years
38242,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,,"Developer, mobile",,,,,Java,Java;PHP;Python;Swift,Firebase;MySQL;Oracle;SQLite,MySQL,Microsoft Azure,Google Cloud Platform;Microsoft Azure,Laravel,Laravel,Flutter,,Unity 3D,Unity 3D,Eclipse;IntelliJ;NetBeans;Notepad++;PyCharm;Sublime Text,NetBeans;Notepad++;PyCharm;Sublime Text,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,,,Middle Eastern,None of the above,None of the above,Too short,Easy,,18 , 24 years
39654,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35 - 44 years,"Other online resources (ex: videos, blogs, etc);Colleague;Books / Physical media",14,12,"Developer, full-stack",2 to 9 employees,JOD	Jordanian dinar,1800.0,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL,Python,Elasticsearch;MariaDB;MongoDB;MySQL,Redis,AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure,Heroku,jQuery;Vue.js,Laravel;React.js;Svelte,,,Git,Kubernetes,Atom;PHPStorm;Vim;Visual Studio;Webstorm,,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent;Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,30468.0,35 , 44 years
40348,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",10,5,"Developer, full-stack",10 to 19 employees,JOD	Jordanian dinar,750.0,Monthly,C#;HTML/CSS;JavaScript,C#,Microsoft SQL Server,,,,ASP.NET;jQuery,Angular;Angular.js;ASP.NET Core ,.NET Framework,.NET Core / .NET 5,Git,,Android Studio;Visual Studio,,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,12696.0,18 , 24 years
40431,I code primarily as a hobby,"Student, full-time",Jordan,,,Primary/elementary school,5 - 10 years,Coding Bootcamp;Friend or family member;Online Courses or Certification;Books / Physical media,3,,,,,,,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,C++;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Swift;TypeScript,MongoDB;MySQL,MongoDB;MySQL,Heroku,AWS;Google Cloud Platform;Heroku;Microsoft Azure,Express;jQuery;Laravel;React.js,Angular;Angular.js;Django;Express;React.js,,,Git,Git,Atom;Notepad++;Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,5 , 10 years
40869,I am a developer by profession,"Not employed, but looking for work",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Online Courses or Certification;Books / Physical media,8,,"Developer, front-end;Developer, full-stack;Developer, back-end",,,,,C;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;R,C++;Go;HTML/CSS;JavaScript;Node.js,MongoDB;MySQL,DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,DigitalOcean;Heroku,AWS;Heroku,Express;React.js,Express;React.js,Qt,React Native,Docker;Git;Kubernetes;Unity 3D;Unreal Engine;Yarn,Docker;Git;Yarn,Android Studio;Atom;Eclipse;Emacs;IntelliJ;Notepad++;RStudio;Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,,11 , 17 years
45582,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Books / Physical media",11,9,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end",10 to 19 employees,JOD	Jordanian dinar,5500.0,Monthly,Java;TypeScript,Dart;Java;TypeScript,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis,Elasticsearch;MongoDB;PostgreSQL;Redis,AWS,AWS;Microsoft Azure,React.js;Spring,React.js;Spring,,,Docker;Git;Kubernetes;Yarn,Ansible;Docker;Git;Kubernetes;Terraform;Yarn,Eclipse;IntelliJ;NetBeans;Sublime Text;Vim;Visual Studio Code,Eclipse;IntelliJ;Sublime Text;Vim;Visual Studio Code,Windows,Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Not sure,No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,93084.0,25 , 34 years
46505,I am a developer by profession,I prefer not to say,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",8,4,,I don’t know,JOD	Jordanian dinar,,Monthly,C++;Java;Kotlin,Dart;Java;Kotlin,Firebase,Firebase,,,,,,,Git;Unity 3D,Flow;Git;Unity 3D,Android Studio;Xcode,Android Studio;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Woman,No,,,,,,,,11 , 17 years
48096,I am a developer by profession,Employed full-time,Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",8,5,"Developer, full-stack;Developer, back-end",20 to 99 employees,JOD	Jordanian dinar,22200.0,Yearly,JavaScript;Python,Rust,MySQL;PostgreSQL;Redis;SQLite,Cassandra;Elasticsearch;Firebase;Redis,AWS,DigitalOcean;Heroku,Django;Flask;React.js;Vue.js,Django;React.js;Spring,,,Docker;Git,Ansible;Docker;Git;Kubernetes;Terraform,PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,31312.0,18 , 24 years
48287,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,Coding Bootcamp;Online Courses or Certification;Books / Physical media,13,9,"Developer, mobile",20 to 99 employees,JOD	Jordanian dinar,0.0,Yearly,Java;Kotlin;PHP,Java;Kotlin;PHP;Python,MariaDB;MySQL,MariaDB;MySQL,DigitalOcean;Google Cloud Platform,Google Cloud Platform,Laravel;Spring,,,,Git,Git,Android Studio;Notepad++;PHPStorm;Sublime Text;Visual Studio Code;Webstorm,Android Studio;Notepad++;PHPStorm;Webstorm,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,35-44 years old,Man,No,Prefer not to say,I don't know,I am deaf / hard of hearing,None of the above,Appropriate in length,Neither easy nor difficult,,25 , 34 years
48411,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",12,5,"Developer, mobile","Just me - I am a freelancer, sole proprietor, etc.",USD	United States dollar,,,Java;JavaScript;Swift;TypeScript,Java;JavaScript;Kotlin;PHP;Swift;TypeScript,Firebase;SQLite,Firebase;MySQL;SQLite,Google Cloud Platform,AWS;Google Cloud Platform,jQuery,jQuery;Laravel,React Native,React Native,Git,Git,Android Studio;Visual Studio Code,Android Studio;Visual Studio Code,MacOS,Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Woman,No,Prefer not to say,Middle Eastern,None of the above,Prefer not to say,Appropriate in length,Easy,,18 , 24 years
48687,I code primarily as a hobby,"Not employed, and not looking for work",Jordan,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",5,,,,,,,C#;Java;JavaScript;TypeScript,C#;C++;Java;JavaScript;Ruby;TypeScript,MongoDB;MySQL,MongoDB;MySQL,,,Angular;Angular.js,Angular;Angular.js,,,Unity 3D,Unity 3D,Eclipse;IntelliJ;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,11 , 17 years
51745,I am a student who is learning to code,"Student, full-time",Jordan,,,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",3,,,,,,,C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,C;Python,MySQL,,AWS,,jQuery,,NumPy;Pandas;TensorFlow;Torch/PyTorch,NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git,IPython/Jupyter;PyCharm;Sublime Text;Visual Studio,IPython/Jupyter;PyCharm;Sublime Text,Windows,Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,11 , 17 years
52448,I am a developer by profession,Employed full-time,Jordan,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Online Courses or Certification;Other (please specify):;Books / Physical media,19,15,"Developer, full-stack;Other (please specify):;Developer, back-end",20 to 99 employees,JOD	Jordanian dinar,3750.0,Monthly,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Redis,Elasticsearch;Redis,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;jQuery,Angular;ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Docker,Docker;Kubernetes;Xamarin,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,63468.0,18 , 24 years
52687,None of these,"Not employed, but looking for work",Jordan,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc)",Less than 1 year,,Designer,,,,,Python,Python,,,,,,,,,Unity 3D;Unreal Engine,Unity 3D;Unreal Engine,IPython/Jupyter,,Windows,Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Meditate;Panic,I have never visited Stack Overflow or the Stack Exchange network,,,,,No,25-34 years old,Woman,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Too long,Easy,,25 , 34 years
